id_candidat,matieres_preferees,moyenne_scolaire,competences,centres_interet,projets,preferences_professionnelles,environnement_travail,parcours_cible
cand-000011,matiere_synthetique_6;matiere_synthetique_11,14.87,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 1}",agriculture;design,,salariat,bureau,parcours-esiia
cand-000005,matiere_synthetique_2;matiere_synthetique_10;matiere_synthetique_11,12.63,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 5}",finance;management;agriculture,projet_personnel_tech,entrepreneuriat,terrain,parcours-igglia
cand-000019,matiere_synthetique_15;matiere_synthetique_15,11.71,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",design;informatique;agriculture,projet_personnel_tech,fonction_publique,teletravail,parcours-isaia
cand-000014,matiere_synthetique_18,15.05,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 2}",finance;design;agriculture,,fonction_publique,teletravail,parcours-igglia
cand-000018,matiere_synthetique_17;matiere_synthetique_11,9.7,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 5}",agriculture;sante,,salariat,teletravail,parcours-esiia
cand-000007,matiere_synthetique_5;matiere_synthetique_18;matiere_synthetique_8,13.63,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",tourisme;design;sante,,salariat,hybride,parcours-imticia
cand-000013,matiere_synthetique_6;matiere_synthetique_4,12.25,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 4}",design;informatique,projet_personnel_tech,recherche,bureau,parcours-isaia
cand-000001,matiere_synthetique_1;matiere_synthetique_16,14.57,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",management;agriculture;informatique,,enseignement,terrain,parcours-imticia
cand-000002,matiere_synthetique_19;matiere_synthetique_10;matiere_synthetique_1,15.35,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 3}",finance;informatique,,entrepreneuriat,bureau,parcours-esiia
cand-000010,matiere_synthetique_17;matiere_synthetique_7;matiere_synthetique_17,18.38,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 2}",ecologie;tourisme,,enseignement,teletravail,parcours-imticia
cand-000008,matiere_synthetique_4,14.44,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 0, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 1}",finance;ecologie,projet_personnel_tech,enseignement,teletravail,parcours-imticia
cand-000012,matiere_synthetique_6;matiere_synthetique_12,11.94,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 2}",tourisme,projet_personnel_tech,entrepreneuriat,bureau,parcours-igglia
cand-000016,matiere_synthetique_2;matiere_synthetique_4;matiere_synthetique_6,14.76,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 0, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 4}",design,,salariat,bureau,parcours-isaia
cand-000017,matiere_synthetique_18;matiere_synthetique_18;matiere_synthetique_13,17.42,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 3}",management,,fonction_publique,teletravail,parcours-igglia
