id_candidat,matieres_preferees,moyenne_scolaire,competences,centres_interet,projets,preferences_professionnelles,environnement_travail,parcours_cible
cand-000634,matiere_synthetique_8,15.98,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 0, ""competence-statistiques-informatique"": 1}",robotique;management,,salariat,hybride,parcours-igglia
cand-000780,matiere_synthetique_12,16.08,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",ecologie;agriculture,,salariat,terrain,parcours-imticia
cand-000374,matiere_synthetique_14;matiere_synthetique_20;matiere_synthetique_18,16.57,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 4}",robotique;informatique;sante,,enseignement,teletravail,parcours-isaia
cand-000963,matiere_synthetique_13,18.3,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 3}",management;agriculture,,entrepreneuriat,bureau,parcours-igglia
cand-000701,matiere_synthetique_3;matiere_synthetique_8,10.47,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 4}",design,projet_personnel_tech,recherche,hybride,parcours-esiia
cand-000831,matiere_synthetique_5,8.64,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 4}",finance;tourisme,,fonction_publique,hybride,parcours-isaia
cand-000432,matiere_synthetique_18;matiere_synthetique_9;matiere_synthetique_3,10.43,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 4}",tourisme;ecologie,projet_personnel_tech,entrepreneuriat,teletravail,parcours-igglia
cand-000860,matiere_synthetique_8;matiere_synthetique_12;matiere_synthetique_6,10.84,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",finance,projet_personnel_tech,salariat,hybride,parcours-igglia
cand-000736,matiere_synthetique_18,10.77,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 4}",tourisme,,recherche,terrain,parcours-imticia
cand-000001,matiere_synthetique_1;matiere_synthetique_16,14.57,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",management;agriculture;informatique,,enseignement,terrain,parcours-imticia
cand-000316,matiere_synthetique_19;matiere_synthetique_1,19.54,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 5}",informatique,,enseignement,hybride,parcours-esiia
cand-000037,matiere_synthetique_7,13.24,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 0, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 3}",agriculture;design,projet_personnel_tech,recherche,teletravail,parcours-imticia
cand-000049,matiere_synthetique_3,8.57,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 0, ""competence-statistiques-informatique"": 2}",informatique;finance,projet_associatif,recherche,hybride,parcours-igglia
cand-000315,matiere_synthetique_13,9.52,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 4}",tourisme;agriculture;design,,salariat,hybride,parcours-esiia
cand-000590,matiere_synthetique_7;matiere_synthetique_14,15.16,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 4}",agriculture;finance;sante,,salariat,terrain,parcours-esiia
