id_candidat,matieres_preferees,moyenne_scolaire,competences,centres_interet,projets,preferences_professionnelles,environnement_travail,parcours_cible
cand-000022,matiere_synthetique_14;matiere_synthetique_1;matiere_synthetique_17,14.93,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 1}",tourisme;robotique;agriculture,,recherche,terrain,parcours-igglia
cand-000392,matiere_synthetique_7;matiere_synthetique_1;matiere_synthetique_7,13.49,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 4}",finance,projet_associatif,salariat,hybride,parcours-igglia
cand-000935,matiere_synthetique_2;matiere_synthetique_14;matiere_synthetique_16,10.41,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 4}",management,,enseignement,teletravail,parcours-esiia
cand-000134,matiere_synthetique_13;matiere_synthetique_11;matiere_synthetique_14,9.92,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 2}",informatique;finance,projet_personnel_tech,entrepreneuriat,bureau,parcours-igglia
cand-000477,matiere_synthetique_7;matiere_synthetique_1;matiere_synthetique_12,13.28,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 5}",agriculture,,entrepreneuriat,bureau,parcours-isaia
cand-001411,matiere_synthetique_5,8.37,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 1}",design;management;agriculture,,enseignement,bureau,parcours-igglia
cand-001727,matiere_synthetique_20;matiere_synthetique_6,12.27,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 5}",management,,salariat,hybride,parcours-isaia
cand-001993,matiere_synthetique_13;matiere_synthetique_14;matiere_synthetique_1,16.26,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 4}",management;ecologie,projet_personnel_tech;projet_associatif,recherche,terrain,parcours-imticia
cand-000498,matiere_synthetique_8;matiere_synthetique_8;matiere_synthetique_11,13.73,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",agriculture,,entrepreneuriat,bureau,parcours-imticia
cand-000899,matiere_synthetique_6;matiere_synthetique_5,18.59,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 4}",robotique;finance,projet_personnel_tech,salariat,hybride,parcours-imticia
cand-000802,matiere_synthetique_20;matiere_synthetique_11,12.57,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 1}",design,,recherche,terrain,parcours-esiia
cand-001651,matiere_synthetique_18;matiere_synthetique_17;matiere_synthetique_15,17.15,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",sante,projet_personnel_tech;projet_associatif,fonction_publique,terrain,parcours-imticia
cand-001302,matiere_synthetique_10;matiere_synthetique_11,8.67,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 4}",sante;tourisme,projet_personnel_tech;projet_associatif,fonction_publique,teletravail,parcours-imticia
cand-000382,matiere_synthetique_11;matiere_synthetique_14;matiere_synthetique_6,13.7,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 0}",ecologie;finance,,enseignement,bureau,parcours-igglia
cand-001971,matiere_synthetique_9,8.87,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",informatique;agriculture;robotique,projet_personnel_tech;projet_associatif,recherche,bureau,parcours-igglia
cand-000180,matiere_synthetique_6,12.03,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",agriculture;informatique,,recherche,teletravail,parcours-isaia
cand-001183,matiere_synthetique_3;matiere_synthetique_10,13.74,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 4}",ecologie,projet_associatif,recherche,bureau,parcours-esiia
cand-000175,matiere_synthetique_1;matiere_synthetique_14,11.03,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 3}",finance,,enseignement,hybride,parcours-igglia
