id_candidat,matieres_preferees,moyenne_scolaire,competences,centres_interet,projets,preferences_professionnelles,environnement_travail,parcours_cible
cand-000275,matiere_synthetique_11;matiere_synthetique_1;matiere_synthetique_5,19.22,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 1}",ecologie;finance,,entrepreneuriat,terrain,parcours-fic
cand-001494,matiere_synthetique_6;matiere_synthetique_9,14.49,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 2}",management;sante;finance,projet_personnel_tech,recherche,hybride,parcours-emii
cand-001315,matiere_synthetique_16;matiere_synthetique_7,14.72,"{""competence-techniques-informatiques-gestion"": 0, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 3}",design,,enseignement,hybride,parcours-gca
cand-001418,matiere_synthetique_4,14.42,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 4}",informatique;finance;management,projet_associatif,recherche,hybride,parcours-imticia
cand-001327,matiere_synthetique_19;matiere_synthetique_5;matiere_synthetique_11,11.46,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 5}",robotique;sante,,enseignement,hybride,parcours-emii
cand-001717,matiere_synthetique_1;matiere_synthetique_6;matiere_synthetique_8,11.01,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 2, ""competence-statistiques-informatique"": 5}",management,,fonction_publique,bureau,parcours-dtja
cand-000554,matiere_synthetique_19,17.19,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",ecologie,,salariat,hybride,parcours-fic
cand-000447,matiere_synthetique_18,9.11,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 3}",management;design;informatique,,enseignement,teletravail,parcours-imticia
cand-001638,matiere_synthetique_16;matiere_synthetique_2;matiere_synthetique_11,13.96,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",finance;informatique;agriculture,,recherche,hybride,parcours-emii
cand-001398,matiere_synthetique_5;matiere_synthetique_19,9.32,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 0, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 3}",design;agriculture,projet_personnel_tech;projet_associatif,fonction_publique,bureau,parcours-aee
cand-000696,matiere_synthetique_10,10.71,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 1}",finance,,enseignement,hybride,parcours-tee
cand-001900,matiere_synthetique_12,14.29,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 0, ""competence-statistiques-informatique"": 1}",robotique,projet_personnel_tech,recherche,hybride,parcours-caa
cand-001703,matiere_synthetique_1;matiere_synthetique_18;matiere_synthetique_15,9.4,"{""competence-techniques-informatiques-gestion"": 1, ""competence-electronique-systemes"": 5, ""competence-multimedia-telecommunications"": 1, ""competence-statistiques-informatique"": 5}",sante;robotique;agriculture,projet_personnel_tech;projet_associatif,recherche,bureau,parcours-emp
cand-000629,matiere_synthetique_5;matiere_synthetique_4;matiere_synthetique_12,14.6,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 3, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 2}",sante,,enseignement,hybride,parcours-tee
cand-000200,matiere_synthetique_9;matiere_synthetique_6,10.6,"{""competence-techniques-informatiques-gestion"": 0, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 2}",tourisme,,recherche,terrain,parcours-teh
cand-001825,matiere_synthetique_16;matiere_synthetique_14,16.14,"{""competence-techniques-informatiques-gestion"": 2, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 5}",finance,projet_personnel_tech,enseignement,hybride,parcours-imticia
cand-000862,matiere_synthetique_6;matiere_synthetique_7,19.41,"{""competence-techniques-informatiques-gestion"": 5, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 3, ""competence-statistiques-informatique"": 3}",finance;sante;informatique,,salariat,terrain,parcours-fic
cand-000348,matiere_synthetique_19;matiere_synthetique_13;matiere_synthetique_2,8.24,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 2, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 4}",ecologie,,fonction_publique,bureau,parcours-aee
cand-000044,matiere_synthetique_18,12.01,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 4, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 1}",agriculture;design;ecologie,,entrepreneuriat,bureau,parcours-pip
cand-000549,matiere_synthetique_16;matiere_synthetique_11,17.13,"{""competence-techniques-informatiques-gestion"": 3, ""competence-electronique-systemes"": 1, ""competence-multimedia-telecommunications"": 4, ""competence-statistiques-informatique"": 1}",ecologie,projet_personnel_tech,salariat,terrain,parcours-emii
cand-001666,matiere_synthetique_8;matiere_synthetique_20,11.93,"{""competence-techniques-informatiques-gestion"": 4, ""competence-electronique-systemes"": 0, ""competence-multimedia-telecommunications"": 5, ""competence-statistiques-informatique"": 3}",tourisme,projet_personnel_tech,entrepreneuriat,terrain,parcours-igglia
